P_u,M_u,V_u,f_c,F_y,t_req_2017,t_req_2023,delta_t,delta_t_pct,excentricidad
50.0,0.0,100,4.5,50,1.3333333333333348,1.3333333333333324,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,100,5.0,36,1.571348402636773,1.57134840263677,-3.1086244689504383e-15,-0.0,0.0
50.0,0.0,100,5.0,40,1.4907119849998605,1.4907119849998576,-2.886579864025407e-15,-0.0,0.0
50.0,0.0,100,5.0,45,1.4054567378526137,1.405456737852611,-2.6645352591003757e-15,-0.0,0.0
50.0,0.0,100,5.0,50,1.333333333333334,1.3333333333333313,-2.6645352591003757e-15,-0.0,0.0
50.0,100.0,0,3.0,36,1.7596295906514776,1.7596295906514823,4.6629367034256575e-15,0.0,2.0
50.0,100.0,0,3.0,40,1.669331203406519,1.6693312034065237,4.6629367034256575e-15,0.0,2.0
50.0,100.0,0,3.0,45,1.5738605519667328,1.573860551966737,4.218847493575595e-15,0.0,2.0
50.0,100.0,0,3.0,50,1.4930952191114022,1.4930952191114062,3.9968028886505635e-15,0.0,2.0
50.0,100.0,0,3.5,36,1.7596295906514794,1.7596295906514787,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,0,3.5,40,1.669331203406521,1.6693312034065204,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,0,3.5,45,1.5738605519667346,1.573860551966734,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,0,3.5,50,1.493095219111404,1.493095219111403,-8.881784197001252e-16,-0.0,2.0
50.0,100.0,0,4.0,36,1.7596295906514803,1.7596295906514796,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,0,4.0,40,1.669331203406522,1.669331203406521,-8.881784197001252e-16,-0.0,2.0
50.0,100.0,0,4.0,45,1.5738605519667352,1.5738605519667348,-4.440892098500626e-16,-0.0,2.0
50.0,100.0,0,4.0,50,1.4930952191114046,1.493095219111404,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,0,4.5,36,1.7596295906514778,1.7596295906514763,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,0,4.5,40,1.6693312034065195,1.669331203406518,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,0,4.5,45,1.5738605519667332,1.5738605519667317,-1.5543122344752192e-15,-0.0,2.0
50.0,100.0,0,4.5,50,1.4930952191114024,1.493095219111401,-1.3322676295501878e-15,-0.0,2.0
50.0,100.0,0,5.0,36,1.7596295906514807,1.7596295906514778,-2.886579864025407e-15,-0.0,2.0
50.0,100.0,0,5.0,40,1.6693312034065224,1.6693312034065193,-3.1086244689504383e-15,-0.0,2.0
50.0,100.0,0,5.0,45,1.573860551966736,1.573860551966733,-2.886579864025407e-15,-0.0,2.0
50.0,100.0,0,5.0,50,1.4930952191114049,1.4930952191114024,-2.4424906541753444e-15,-0.0,2.0
50.0,100.0,50,3.0,36,1.7596295906514776,1.7596295906514823,4.6629367034256575e-15,0.0,2.0
50.0,100.0,50,3.0,40,1.669331203406519,1.6693312034065237,4.6629367034256575e-15,0.0,2.0
50.0,100.0,50,3.0,45,1.5738605519667328,1.573860551966737,4.218847493575595e-15,0.0,2.0
50.0,100.0,50,3.0,50,1.4930952191114022,1.4930952191114062,3.9968028886505635e-15,0.0,2.0
50.0,100.0,50,3.5,36,1.7596295906514794,1.7596295906514787,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,50,3.5,40,1.669331203406521,1.6693312034065204,-6.661338147750939e-16,-0.0,2.0
50.0,100.0,50,3.5,45,1.5738605519667346,1.573860551966734,-6.661338147750939e-16,-0.0,2.0
